filename,brisque_ground_truth,brisque_bicubic,brisque_realesrgan
d32_034_r0_c0.png,28.20528221130371,58.08340072631836,29.34801483154297
d32_034_r0_c1.png,19.320987701416016,59.457115173339844,13.162430763244629
d32_034_r0_c2.png,20.16737174987793,65.66754913330078,19.507240295410156
d32_034_r0_c3.png,20.180265426635742,82.05699157714844,17.165075302124023
d32_034_r1_c0.png,28.83136558532715,83.17033386230469,46.0373420715332
d32_034_r1_c1.png,26.798263549804688,60.10000991821289,26.720441818237305
d32_034_r1_c2.png,27.553823471069336,60.21710205078125,35.746829986572266
d32_034_r1_c3.png,31.421035766601562,60.77487564086914,31.70133399963379
d32_034_r2_c0.png,14.852034568786621,58.95319366455078,13.386031150817871
d32_034_r2_c1.png,17.384578704833984,61.23347091674805,23.867338180541992
d32_034_r2_c2.png,23.86804962158203,61.141212463378906,13.635114669799805
d32_034_r2_c3.png,22.771930694580078,59.830772399902344,21.876314163208008
d32_034_r3_c0.png,22.796875,61.85321044921875,9.941567420959473
d32_034_r3_c1.png,19.43185806274414,61.30143737792969,12.615434646606445
d32_034_r3_c2.png,20.111995697021484,59.86309051513672,15.206809043884277
d32_034_r3_c3.png,25.889326095581055,58.981781005859375,17.20523452758789
d32_044_r1_c0.png,15.407523155212402,57.56688690185547,4.896474361419678
d32_044_r1_c1.png,17.41383934020996,71.38145446777344,10.186890602111816
d32_044_r1_c2.png,32.42213821411133,84.38401794433594,11.897588729858398
d32_044_r2_c0.png,26.261579513549805,60.01871871948242,26.413251876831055
d32_044_r2_c1.png,23.13755226135254,58.77128219604492,20.634601593017578
d32_044_r2_c2.png,27.17711067199707,55.834598541259766,28.268314361572266
d32_044_r2_c3.png,21.887428283691406,50.04816436767578,8.423036575317383
d32_044_r3_c0.png,33.38749313354492,63.71322250366211,12.125504493713379
d32_044_r3_c1.png,33.819252014160156,59.794960021972656,20.80137825012207
d32_044_r3_c2.png,32.22556686401367,58.24736022949219,21.119884490966797
d32_044_r3_c3.png,38.4244384765625,56.529075622558594,29.828523635864258
gnh_038_r0_c0.png,28.794475555419922,82.6838607788086,68.17353820800781
gnh_038_r0_c1.png,35.74506378173828,70.53201293945312,46.67131042480469
gnh_038_r0_c2.png,35.42824172973633,71.82726287841797,44.052337646484375
gnh_038_r0_c3.png,35.14253234863281,70.10615539550781,29.897140502929688
gnh_038_r1_c0.png,16.994754791259766,59.109596252441406,66.88401794433594
gnh_038_r1_c1.png,11.130880355834961,59.15859603881836,26.963146209716797
gnh_038_r1_c2.png,12.572846412658691,57.3542366027832,18.0637264251709
gnh_038_r1_c3.png,22.217771530151367,55.4736213684082,16.112951278686523
gnh_038_r2_c0.png,24.632368087768555,60.832275390625,54.61153793334961
gnh_038_r2_c1.png,15.33073902130127,59.32425308227539,41.4830436706543
